Place's name,Place's rank,Place's type,Place's status,Place's time,Place's images,Place's url,Place's rate,Place's total reviewer,Place's 5 points,Place's 4 points,Place's 3 points,Place's 2 points,Place's 1 points,retrived_date,Province
Bespoke Tailor Tailort,Sá»‘ 258 trĂªn 417 Mua sÄƒ̀m á»Ÿ HĂ Ná»™i,Cá»­a hĂ ng Ä‘áº·c sáº£n & cá»­a hĂ ng quĂ táº·ng,Äang má»Ÿ cá»­a,10:00 - 19:00,9,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11666644-Reviews-Bespoke_Tailor_Tailort-Hanoi.html,3,11,5,1,0,0,5,4/21/2022,Hà Nội
Taxi Ná»™i BĂ i,Sá»‘ 179 trĂªn 346 PhÆ°Æ¡ng tiĂª̀£n giao thĂ´ng á»Ÿ HĂ Ná»™i,Taxi & xe Ä‘Æ°a Ä‘Ă³n,Äang má»Ÿ cá»­a,00:00 - 23:59,30,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11612095-Reviews-Taxi_Noi_Bai-Hanoi.html,2.1,3,1,0,1,0,1,4/21/2022,Hà Nội
NoiBai Private Transfer,Sá»‘ 135 trĂªn 346 PhÆ°Æ¡ng tiĂª̀£n giao thĂ´ng á»Ÿ HĂ Ná»™i,Taxi & xe Ä‘Æ°a Ä‘Ă³n,Äang má»Ÿ cá»­a,00:00 - 23:59,7,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11547516-Reviews-NoiBai_Private_Transfer-Hanoi.html,3.5,24,12,2,2,1,7,4/21/2022,Hà Nội
AirPort Private Transfer,Sá»‘ 345 trĂªn 346 PhÆ°Æ¡ng tiĂª̀£n giao thĂ´ng á»Ÿ HĂ Ná»™i,Taxi & xe Ä‘Æ°a Ä‘Ă³n,Äang má»Ÿ cá»­a,KhĂ´ng cĂ³ thĂ´ng tin,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11445225-Reviews-AirPort_Private_Transfer-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Chuong Tailor,Sá»‘ 403 trĂªn 417 Mua sÄƒ̀m á»Ÿ HĂ Ná»™i,Cá»­a hĂ ng Ä‘áº·c sáº£n & cá»­a hĂ ng quĂ táº·ng,Äang má»Ÿ cá»­a,KhĂ´ng cĂ³ thĂ´ng tin,2,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d10962096-Reviews-Chuong_Tailor-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Luxury Sapa Bus,Sá»‘ 201 trĂªn 346 PhÆ°Æ¡ng tiĂª̀£n giao thĂ´ng á»Ÿ HĂ Ná»™i,Dá»‹ch vá»¥ xe buĂ½t â€¢ Taxi & xe Ä‘Æ°a Ä‘Ă³n,Äang má»Ÿ cá»­a,KhĂ´ng cĂ³ thĂ´ng tin,11,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d10859482-Reviews-Luxury_Sapa_Bus-Hanoi.html,2,15,3,0,0,1,11,4/21/2022,Hà Nội
Grandpa's Garden,Sá»‘ 404 trĂªn 417 Mua sÄƒ̀m á»Ÿ HĂ Ná»™i,Cá»­a hĂ ng Ä‘áº·c sáº£n & cá»­a hĂ ng quĂ táº·ng,Äang má»Ÿ cá»­a,KhĂ´ng cĂ³ thĂ´ng tin,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d10844763-Reviews-Grandpa_s_Garden-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Lang Toi - My Village by Lune Production,Sá»‘ 3 trĂªn 30 NhĂ hĂ¡t & hĂ²a nháº¡c á»Ÿ HĂ Ná»™i,NhĂ hĂ¡t & biá»ƒu diá»…n,Äang má»Ÿ cá»­a,09:30 - 18:00,209,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d10804777-Reviews-Lang_Toi_My_Village_by_Lune_Production-Hanoi.html,5,809,685,87,28,5,4,4/21/2022,Hà Nội
So Good T'shirts Organic Cotton - Hand Made,Sá»‘ 140 trĂªn 417 Mua sÄƒ̀m á»Ÿ HĂ Ná»™i,Cá»­a hĂ ng Ä‘áº·c sáº£n & cá»­a hĂ ng quĂ táº·ng,Äang má»Ÿ cá»­a,KhĂ´ng cĂ³ thĂ´ng tin,3,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d10785508-Reviews-So_Good_T_shirts_Organic_Cotton_Hand_Made-Hanoi.html,5,5,4,1,0,0,0,4/21/2022,Hà Nội
Le Chalet,Sá»‘ 109 trĂªn 417 Mua sÄƒ̀m á»Ÿ HĂ Ná»™i,Cá»­a hĂ ng Ä‘áº·c sáº£n & cá»­a hĂ ng quĂ táº·ng,Äang má»Ÿ cá»­a,10:00 - 21:00,23,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d10519823-Reviews-Le_Chalet-Hanoi.html,4.1,8,6,2,0,0,0,4/21/2022,Hà Nội
Madam Yen Cooking Class,Sá»‘ 26 trĂªn 179 Lá»›p há»c & há»™i tháº£o á»Ÿ HĂ Ná»™i,Lá»›p náº¥u Äƒn,Äang má»Ÿ cá»­a,09:00 - 17:00,129,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d10290515-Reviews-Madam_Yen_Cooking_Class-Hanoi.html,4.1,62,54,4,3,1,0,4/21/2022,Hà Nội
Amazon World,Sá»‘ 239 trĂªn 332 Spa & Sá»©c khá»e á»Ÿ HĂ Ná»™i,CĂ¢u là£c bĂ´̀£ sÆ°̀c khò‰e â€¢ NhĂ táº¯m hÆ¡i & nhĂ táº¯m kiá»ƒu Thá»• NhÄ© Ká»³ â€¢ NhĂ táº¯m kiá»ƒu La MĂ£ â€¢ Spa,Äang má»Ÿ cá»­a,KhĂ´ng cĂ³ thĂ´ng tin,22,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d10063863-Reviews-Amazon_World-Hanoi.html,5,1,1,0,0,0,0,4/21/2022,Hà Nội
Há»™i GiĂ³ng,Sá»‘ 136 trong 259 hoáº¡t Ä‘á»™ng giáº£i trĂ­ táº¡i HĂ Ná»™i,Sá»± kiá»‡n vÄƒn hĂ³a,Äang má»Ÿ cá»­a,KhĂ´ng cĂ³ thĂ´ng tin,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d10020706-Reviews-Giong_Festival-Hanoi.html,3.1,5,1,3,1,0,0,4/21/2022,Hà Nội
Aeon Mall Ha Dong,Sá»‘ 6 trong 14 hoáº¡t Ä‘á»™ng giáº£i trĂ­ táº¡i Ha Dong,Trung tĂ¢m mua sáº¯m,Äang má»Ÿ cá»­a,KhĂ´ng cĂ³ thĂ´ng tin,0,https://www.tripadvisor.com.vn/Attraction_Review-g17733187-d22978225-Reviews-Aeon_Mall_Ha_Dong-Ha_Dong_Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
tiNiWorld,Số 35 trên 39 Thiên nhiên & Công viên ở Hà Nội,Sân chơi • Trung tâm trò chơi & giải trí,,,0,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d9996421-Reviews-TiNiWorld-Hanoi.html,",,0,0,0,0,0,0,4/21/2022,Hà Nội
tiNiWorld,Số 21 trên 39 Thiên nhiên & Công viên ở Hà Nội,Sân chơi • Trung tâm trò chơi & giải trí,,,10,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d9996397-Reviews-TiNiWorld-Hanoi.html,",5,1,1,0,0,0,0,4/21/2022,Hà Nội
New Day Spa,Số 90 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,6,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d9974420-Reviews-New_Day_Spa-Hanoi.html,",4.5,45,32,9,3,0,1,4/21/2022,Hà Nội
Natural Spa,Số 111 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,09:00 - 23:00,16,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d9754939-Reviews-Natural_Spa-Hanoi.html,",3.1,73,46,13,3,2,9,4/21/2022,Hà Nội
"Lemi spa, foot & body massage",Số 162 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,2,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d9748286-Reviews-Lemi_spa_foot_body_massage-Hanoi.html,",3.5,26,13,4,2,1,6,4/21/2022,Hà Nội
Zen Cooking Class,Số 78 trên 179 Lớp học & hội thảo ở Hà Nội,Lớp nấu ăn,,,4,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d9721906-Reviews-Zen_Cooking_Class-Hanoi.html,",4.5,7,5,2,0,0,0,4/21/2022,Hà Nội
Taboo Lounge and Bar,Số 85 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,,,0,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d9563853-Reviews-Taboo_Lounge_and_Bar-Hanoi.html,",4.5,2,1,1,0,0,0,4/21/2022,Hà Nội
VIETNAMESE SPA at ease,Số 87 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,09:00 - 23:00,14,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8851179-Reviews-VIETNAMESE_SPA_at_ease-Hanoi.html,",4.5,46,33,6,2,5,0,4/21/2022,Hà Nội
Duccio Tailor,Số 36 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,09:00 - 17:00,43,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8773701-Reviews-Duccio_Tailor-Hanoi.html,",5,48,44,1,0,3,0,4/21/2022,Hà Nội
Jojo Bar,Số 21 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,Đang đóng cửa,18:00 - 01:00,31,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8647361-Reviews-Jojo_Bar-Hanoi.html,",4.5,23,20,2,0,0,1,4/21/2022,Hà Nội
Công Viên Cầu Giấy,Số 119 trong 259 hoạt động giải trí tại Hà Nội,Công viên,,,12,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8630630-Reviews-Cau_Giay_Park-Hanoi.html,",4.5,6,2,4,0,0,0,4/21/2022,Hà Nội
Thiên Sơn Plaza,Số 156 trong 259 hoạt động giải trí tại Hà Nội,Cửa hàng bách hóa,,,3,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8540428-Reviews-Thien_Son_Plaza-Hanoi.html,",3.1,4,0,4,0,0,0,4/21/2022,Hà Nội
Heritage Sapce,Số 187 trong 259 hoạt động giải trí tại Hà Nội,Phòng trưng bày nghệ thuật • Viện bảo tàng nghệ thuật • Bảo tàng dành cho trẻ em,Đang mở cửa,09:00 - 17:00,12,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8517712-Reviews-Heritage_Sapce-Hanoi.html,",5,1,1,0,0,0,0,4/21/2022,Hà Nội
Ajisai,Số 37 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,09:00 - 20:00,53,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8512094-Reviews-Ajisai-Hanoi.html,",4.5,66,31,27,6,1,1,4/21/2022,Hà Nội
Phòng Tranh Đông Phong,Số 118 trong 259 hoạt động giải trí tại Hà Nội,Phòng trưng bày nghệ thuật,Đang mở cửa,09:30 - 06:30,16,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8403743-Reviews-Dong_Phong_Art_Gallery-Hanoi.html,",4.5,8,6,1,0,1,0,4/21/2022,Hà Nội
Airashi Silk,Số 75 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,09:00 - 21:00,26,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8300938-Reviews-Airashi_Silk-Hanoi.html,",4,22,14,3,2,0,3,4/21/2022,Hà Nội
The Unicorn Pub,Số 7 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,Đang đóng cửa,17:00 - 00:00,128,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8299923-Reviews-The_Unicorn_Pub-Hanoi.html,",4.1,79,72,4,0,1,2,4/21/2022,Hà Nội
BALOTELI: Design Custom Suits,Số 128 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,09:00 - 19:00,18,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8115764-Reviews-BALOTELI_Design_Custom_Suits-Hanoi.html,",5,6,5,1,0,0,0,4/21/2022,Hà Nội
Nyll Tailor,Số 190 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,4,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8091224-Reviews-Nyll_Tailor-Hanoi.html,",4.5,3,2,1,0,0,0,4/21/2022,Hà Nội
Bùi Mai Hiên Gallery,Số 138 trong 259 hoạt động giải trí tại Hà Nội,Phòng trưng bày nghệ thuật,Đang mở cửa,08:00 - 19:00,23,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8078344-Reviews-Bui_Mai_Hien_Gallery-Hanoi.html,",4.5,4,2,2,0,0,0,4/21/2022,Hà Nội
Vườn Quốc Gia Ba Vì,Số 33 trong 259 hoạt động giải trí tại Hà Nội,Công viên quốc gia,,,307,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d7938258-Reviews-Ba_Vi_National_Park-Hanoi.html,",4.5,80,42,30,7,1,0,4/21/2022,Hà Nội
Aroma Spa,Số 153 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,12,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d7928322-Reviews-Aroma_Spa-Hanoi.html,",3.1,14,10,1,0,2,1,4/21/2022,Hà Nội
Vi spa 2,Số 45 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,35,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d7339851-Reviews-Vi_spa_2-Hanoi.html,",4.5,332,268,41,10,4,9,4/21/2022,Hà Nội
Mao's Red Lounge,Số 48 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,,,9,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d7317329-Reviews-Mao_s_Red_Lounge-Hanoi.html,",4,12,3,8,0,1,0,4/21/2022,Hà Nội
Zen Spa,Số 105 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,09:00 - 21:00,80,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d7184335-Reviews-Zen_Spa-Hanoi.html,",4.5,36,25,7,1,1,2,4/21/2022,Hà Nội
Nhà May Cao Minh,Số 278 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,09:00 - 18:00,2,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d7092603-Reviews-Cao_Minh_Saigon_Hanoi-Hanoi.html,",2.1,3,1,0,1,0,1,4/21/2022,Hà Nội
Waxing House,Số 99 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,08:30 - 18:00,17,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d7076796-Reviews-Waxing_House-Hanoi.html,",4.5,29,24,2,1,1,1,4/21/2022,Hà Nội
Essencia Spa,Số 31 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,09:00 - 21:30,47,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d7055050-Reviews-Essencia_Spa-Hanoi.html,",4.1,272,252,18,2,0,0,4/21/2022,Hà Nội
Den Quan De,Số 111 trong 259 hoạt động giải trí tại Hà Nội,Điểm thu hút khách tham quan & thắng cảnh,,,17,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d6991711-Reviews-Den_Quan_De-Hanoi.html,",3.1,10,2,7,1,0,0,4/21/2022,Hà Nội
Van Xuan Foot Massage,Số 120 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,29,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d6956655-Reviews-Van_Xuan_Foot_Massage-Hanoi.html,",3.5,202,60,62,29,19,32,4/21/2022,Hà Nội
54 Traditions Gallery,Số 2 trên 82 Bảo tàng ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng • Phòng trưng bày nghệ thuật • Cửa hàng đồ cổ,Đang mở cửa,08:30 - 18:00,60,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d6941945-Reviews-54_Traditions_Gallery-Hanoi.html,",5,120,107,10,3,0,0,4/21/2022,Hà Nội
Mekong Plus,Số 78 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,6,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d6784243-Reviews-Mekong_Plus-Hanoi.html,",4.1,16,15,1,0,0,0,4/21/2022,Hà Nội
Le Spa du Metropole,Số 57 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,10:00 - 22:00,42,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d6684667-Reviews-Le_Spa_du_Metropole-Hanoi.html,",5,113,98,9,6,0,0,4/21/2022,Hà Nội
MAM Art Projects,Số 190 trong 259 hoạt động giải trí tại Hà Nội,Viện bảo tàng chuyên ngành,,,5,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d6529522-Reviews-MAM_Art_Projects-Hanoi.html,",3.5,4,0,2,2,0,0,4/21/2022,Hà Nội
Imperial Citadel of Thang Long,Số 21 trong 259 hoạt động giải trí tại Hà Nội,Địa điểm lịch sử • Điểm thu hút khách tham quan & thắng cảnh,Đang mở cửa,08:00 - 17:00,1108,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d6417854-Reviews-Imperial_Citadel_of_Thang_Long-Hanoi.html,",4,708,237,246,183,34,8,4/21/2022,Hà Nội
Things of Substance,Số 149 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,12,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d5957176-Reviews-Things_of_Substance-Hanoi.html,",4,15,9,3,0,1,2,4/21/2022,Hà Nội
Geological Museum,Số 133 trong 259 hoạt động giải trí tại Hà Nội,Viện bảo tàng khoa học,,,14,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d590925-Reviews-Geological_Museum-Hanoi.html,",3.5,25,3,7,12,2,1,4/21/2022,Hà Nội
Phòng tranh 3D,Số 131 trong 259 hoạt động giải trí tại Hà Nội,Viện bảo tàng nghệ thuật,,,29,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d5794284-Reviews-3D_Gallery-Hanoi.html,",4,13,5,5,1,1,1,4/21/2022,Hà Nội
Lamour Spa,Số 269 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,3,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d5501660-Reviews-Lamour_Spa-Hanoi.html,",2,5,1,0,0,0,4,4/21/2022,Hà Nội
Relax Foot Massage,Số 255 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,17,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d5501633-Reviews-Relax_Foot_Massage-Hanoi.html,",2.1,11,4,2,0,2,3,4/21/2022,Hà Nội
Bia Hoi,Số 8 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,,,116,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d5453577-Reviews-Bia_Hoi-Hanoi.html,",4.5,224,138,59,12,5,10,4/21/2022,Hà Nội
Spa HT,Số 193 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,21,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d5079505-Reviews-Spa_HT-Hanoi.html,",4,16,10,1,0,2,3,4/21/2022,Hà Nội
CUC Gallery,Số 179 trong 259 hoạt động giải trí tại Hà Nội,Điểm thu hút khách tham quan & thắng cảnh,,,73,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d4831699-Reviews-CUC_Gallery-Hanoi.html,",5,1,1,0,0,0,0,4/21/2022,Hà Nội
Daluva,Số 99 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,Đang mở cửa,07:00 - 00:00,0,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d4778598-Reviews-Daluva-Hanoi.html,",3,1,0,0,1,0,0,4/21/2022,Hà Nội
Xính Spa,Số 192 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,3,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d4587514-Reviews-Xinh_Spa-Hanoi.html,",5,5,4,1,0,0,0,4/21/2022,Hà Nội
Bảo tàng Phụ nữ Việt Nam,Số 4 trong 259 hoạt động giải trí tại Hà Nội,Viện bảo tàng chuyên ngành,Đang mở cửa,08:00 - 17:00,1754,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d447354-Reviews-Vietnamese_Women_s_Museum-Hanoi.html,",4.5,5215,3032,1690,417,55,21,4/21/2022,Hà Nội
West Lake New Solar Amusement Park,Số 140 trong 259 hoạt động giải trí tại Hà Nội,Công viên giải trí & công viên chủ đề,,,0,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d4317368-Reviews-West_Lake_New_Solar_Amusement_Park-Hanoi.html,",4,5,2,1,2,0,0,4/21/2022,Hà Nội
Victoria Lounge and Karaoke,Số 94 trên 158 Giải trí về đêm ở Hà Nội,Quầy bar karaoke,,,0,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d4310609-Reviews-Victoria_Lounge_and_Karaoke-Hanoi.html,",4,1,0,1,0,0,0,4/21/2022,Hà Nội
Viet Fine Arts and Handicrafts,Số 205 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,2,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d4211342-Reviews-Viet_Fine_Arts_and_Handicrafts-Hanoi.html,",4.5,2,1,1,0,0,0,4/21/2022,Hà Nội
Curve - 24 Hour Tailoring,Số 268 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,2,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d4211281-Reviews-Curve_24_Hour_Tailoring-Hanoi.html,",3.5,8,4,0,1,0,3,4/21/2022,Hà Nội
Bambou Silk,Số 24 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,98,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d4178732-Reviews-Bambou_Silk-Hanoi.html,",4.5,165,114,24,8,7,12,4/21/2022,Hà Nội
Finnegan's Irish Pub and Restaurant,Số 102 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,Đang mở cửa,13:00 - 02:00,1,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d3561650-Reviews-Finnegan_s_Irish_Pub_and_Restaurant-Hanoi.html,",2.1,31,3,13,1,3,11,4/21/2022,Hà Nội
Phố Cổ Hà Nội,Số 1 trong 259 hoạt động giải trí tại Hà Nội,Khu lân cận • Khu vực đi dạo tham quan di tích lịch sử,Đang mở cửa,00:00 - 23:59,15751,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d317503-Reviews-Old_Quarter-Hanoi.html,",4.5,28327,16335,9131,2266,394,201,4/21/2022,Hà Nội
Nhà Thờ Lớn,Số 17 trong 259 hoạt động giải trí tại Hà Nội,Điểm thu hút khách tham quan & thắng cảnh • Địa điểm tôn giáo,Đang đóng cửa,"08:00 - 11:00, 14:00 - 17:00",2043,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d311082-Reviews-St_Joseph_s_Cathedral-Hanoi.html,",4,2879,815,1233,711,106,14,4/21/2022,Hà Nội
Nhà Hát Lớn Hà Nội,Số 11 trong 259 hoạt động giải trí tại Hà Nội,Rạp hát,,,572,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d311077-Reviews-Hanoi_Opera_House-Hanoi.html,",4,1354,528,557,232,31,6,4/21/2022,Hà Nội
Chùa Một Cột,Số 41 trong 259 hoạt động giải trí tại Hà Nội,Địa điểm tôn giáo,Đang mở cửa,08:00 - 17:00,1021,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d311075-Reviews-One_Pillar_Pagoda-Hanoi.html,",3.5,1628,248,583,684,94,19,4/21/2022,Hà Nội
Hỏa Lò,Số 10 trong 259 hoạt động giải trí tại Hà Nội,Địa điểm lịch sử,Đang mở cửa,08:00 - 17:00,5677,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d311069-Reviews-Hoa_Lo_Prison-Hanoi.html,",4,10615,3827,4876,1623,218,71,4/21/2022,Hà Nội
Hang Quat Street (Street of Fans),Số 108 trong 259 hoạt động giải trí tại Hà Nội,Điểm thu hút khách tham quan & thắng cảnh,,,11,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d311060-Reviews-Hang_Quat_Street_Street_of_Fans-Hanoi.html,",3.5,29,2,13,12,1,1,4/21/2022,Hà Nội
Dong Xuan Market,Số 200 trong 259 hoạt động giải trí tại Hà Nội,Chợ trời & chợ đường phố,,,688,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d311057-Reviews-Dong_Xuan_Market-Hanoi.html,",3,730,61,179,290,121,79,4/21/2022,Hà Nội
An Handmade - H’Mong Hemp Fabric,Số 303 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,09:00 - 22:00,2,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d23959149-Reviews-An_Handmade_H_Mong_Hemp_Fabric-Hanoi.html,",,0,0,0,0,0,0,4/21/2022,Hà Nội
Sport1 Sports Shop,Số 307 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,08:15 - 21:00,0,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d23696338-Reviews-Sport1_Sports_Shop-Hanoi.html,",,0,0,0,0,0,0,4/21/2022,Hà Nội
WINECELLAR.vn,Số 313 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,08:30 - 21:00,0,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d23499827-Reviews-WINECELLAR_vn-Hanoi.html,",,0,0,0,0,0,0,4/21/2022,Hà Nội
Ehi Food,Số 229 trong 259 hoạt động giải trí tại Hà Nội,Chợ nông sản,Đang mở cửa,08:00 - 21:00,0,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d23395655-Reviews-Ehi_Food-Hanoi.html,",,0,0,0,0,0,0,4/21/2022,Hà Nội
Lemon Tree Baking Studio,Số 91 trên 179 Lớp học & hội thảo ở Hà Nội,Lớp nấu ăn,Đang mở cửa,09:30 - 20:30,15,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d23338358-Reviews-Lemon_Tree_Baking_Studio-Hanoi.html,",5,1,1,0,0,0,0,4/21/2022,Hà Nội
Flower Valley West lake,Số 231 trong 259 hoạt động giải trí tại Hà Nội,Vườn,,,0,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d23306319-Reviews-Flower_Valley_West_lake-Hanoi.html,",,0,0,0,0,0,0,4/21/2022,Hà Nội
SkyL - Sky Lounge,Số 115 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,,,0,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d23121562-Reviews-SkyL_Sky_Lounge-Hanoi.html,",,0,0,0,0,0,0,4/21/2022,Hà Nội
The Smoke Club - Vape Shop,Số 319 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,09:00 - 20:30,0,"https://www.tripadvisor.com.vn/Attraction_Review-g293924-d23067239-Reviews-The_Smoke_Club_Vape_Shop-Hanoi.html,",,0,0,0,0,0,0,4/21/2022,Hà Nội
